ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP2840	Hair follicle development: cytodifferentiation - part 3 of 3	3/123	51/5488	0.105501063378059	0.787030759337345	0.778993524560138	2354/25928/11005	3
WP2882	Nuclear receptors meta-pathway	9/123	250/5488	0.107174091804602	0.787030759337345	0.778993524560138	1958/9982/55554/81706/9588/6286/6513/160728/11254	9
WP4018	Clear cell renal cell carcinoma pathways	4/123	81/5488	0.107546020980909	0.787030759337345	0.778993524560138	79365/3099/197257/6513	4
WP5115	Network map of SARS-CoV-2 signaling pathway	7/123	180/5488	0.108391192722798	0.787030759337345	0.778993524560138	1958/3043/7850/3699/6288/6289/5104	7
WP2848	Pluripotent stem cell differentiation pathway	2/123	26/5488	0.114334739025395	0.787030759337345	0.778993524560138	10637/8600	2
WP117	GPCRs, other	2/123	27/5488	0.121744429289431	0.787030759337345	0.778993524560138	9620/2918	2
WP24	Peptide GPCRs	2/123	27/5488	0.121744429289431	0.787030759337345	0.778993524560138	4886/5540	2
WP5113	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	2/123	27/5488	0.121744429289431	0.787030759337345	0.778993524560138	4314/27035	2
WP15	Selenium micronutrient network	3/123	55/5488	0.124844550802722	0.787030759337345	0.778993524560138	3043/6288/6289	3
WP5130	Th17 cell differentiation pathway	3/123	58/5488	0.140130625242804	0.787030759337345	0.778993524560138	50615/9572/5187	3
WP5097	CCL18 signaling pathway	2/123	30/5488	0.144625833326331	0.787030759337345	0.778993524560138	6513/7004	2
WP2880	Glucocorticoid receptor pathway	3/123	60/5488	0.150656507399709	0.787030759337345	0.778993524560138	9982/81706/6286	3
WP5218	Extrafollicular B cell activation by SARS-CoV-2	3/123	62/5488	0.161428348718289	0.787030759337345	0.778993524560138	57379/60468/604	3
WP500	Glycogen synthesis and degradation	2/123	34/5488	0.176350980398267	0.787030759337345	0.778993524560138	3099/5836	2
WP5205	Clock-controlled autophagy in bone metabolism	3/123	67/5488	0.189310239832802	0.787030759337345	0.778993524560138	79365/5187/8600	3
WP4538	Regulatory circuits of the STAT3 signaling pathway	3/123	68/5488	0.195031242819578	0.787030759337345	0.778993524560138	1844/53832/50615	3
WP1991	SRF and miRs in smooth muscle differentiation and proliferation	1/123	10/5488	0.202970313210522	0.787030759337345	0.778993524560138	4208	1
WP3930	EDA signaling in hair follicle development	1/123	10/5488	0.202970313210522	0.787030759337345	0.778993524560138	25928	1
WP4259	Disorders of folate metabolism and transport	1/123	10/5488	0.202970313210522	0.787030759337345	0.778993524560138	10840	1
WP5110	Familial hyperlipidemia type 3	1/123	10/5488	0.202970313210522	0.787030759337345	0.778993524560138	7436	1
WP534	Glycolysis and gluconeogenesis	2/123	38/5488	0.209039162494371	0.787030759337345	0.778993524560138	3099/6513	2
WP3971	OSX and miRNAs in tooth development	1/123	11/5488	0.220866379562312	0.787030759337345	0.778993524560138	655	1
WP4553	FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma	1/123	11/5488	0.220866379562312	0.787030759337345	0.778993524560138	604	1
WP4629	Aerobic glycolysis	1/123	11/5488	0.220866379562312	0.787030759337345	0.778993524560138	6513	1
WP4723	Omega-3 / omega-6 fatty acid synthesis	1/123	11/5488	0.220866379562312	0.787030759337345	0.778993524560138	9415	1
WP4788	Autosomal recessive osteopetrosis pathways	1/123	11/5488	0.220866379562312	0.787030759337345	0.778993524560138	8600	1
WP5220	Metabolic reprogramming in pancreatic cancer	2/123	40/5488	0.225616510117113	0.787030759337345	0.778993524560138	3099/6513	2
WP247	Small ligand GPCRs	1/123	12/5488	0.238363811607928	0.787030759337345	0.778993524560138	1903	1
WP3301	MFAP5-mediated ovarian cancer cell motility and invasiveness	1/123	12/5488	0.238363811607928	0.787030759337345	0.778993524560138	7134	1
WP4724	Omega-9 fatty acid synthesis	1/123	12/5488	0.238363811607928	0.787030759337345	0.778993524560138	9415	1
WP5109	Familial hyperlipidemia type 2	1/123	12/5488	0.238363811607928	0.787030759337345	0.778993524560138	255738	1
WP5173	Disorders of galactose metabolism 	1/123	12/5488	0.238363811607928	0.787030759337345	0.778993524560138	5836	1
WP2857	Mesodermal commitment pathway	4/123	112/5488	0.242246296584166	0.787030759337345	0.778993524560138	655/1466/8325/10637	4
WP2849	Hematopoietic stem cell differentiation	2/123	43/5488	0.250648321049684	0.787030759337345	0.778993524560138	2354/23650	2
WP410	Exercise-induced circadian regulation	2/123	43/5488	0.250648321049684	0.787030759337345	0.778993524560138	5187/10381	2
WP4963	p53 transcriptional gene network	3/123	78/5488	0.254234966114402	0.787030759337345	0.778993524560138	136/2810/6513	3
WP3958	GPR40 pathway	1/123	13/5488	0.255471417738721	0.787030759337345	0.778993524560138	113026	1
WP4522	Metabolic pathway of LDL, HDL and TG, including diseases	1/123	13/5488	0.255471417738721	0.787030759337345	0.778993524560138	255738	1
WP4584	Biomarkers for pyrimidine metabolism disorders	1/123	13/5488	0.255471417738721	0.787030759337345	0.778993524560138	1152	1
WP5192	Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids	1/123	13/5488	0.255471417738721	0.787030759337345	0.778993524560138	1903	1
WP12	Osteoclast signaling	1/123	14/5488	0.272197813285413	0.787030759337345	0.778993524560138	8600	1
WP2895	Differentiation of white and brown adipocyte	1/123	14/5488	0.272197813285413	0.787030759337345	0.778993524560138	655	1
WP3969	H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity	1/123	14/5488	0.272197813285413	0.787030759337345	0.778993524560138	1466	1
WP5061	Fatty acid transporters	1/123	14/5488	0.272197813285413	0.787030759337345	0.778993524560138	2170	1
WP1946	Cori cycle	1/123	15/5488	0.288551424715061	0.787030759337345	0.778993524560138	6513	1
WP3664	Regulation of Wnt / B-catenin signaling by small molecule compounds	1/123	15/5488	0.288551424715061	0.787030759337345	0.778993524560138	8325	1
WP497	Urea cycle and metabolism of amino groups	1/123	15/5488	0.288551424715061	0.787030759337345	0.778993524560138	1152	1
WP5074	Kallmann syndrome	1/123	15/5488	0.288551424715061	0.787030759337345	0.778993524560138	60675	1
WP2272	Pathogenic Escherichia coli infection	2/123	48/5488	0.292488786637763	0.787030759337345	0.778993524560138	347733/10381	2
WP3942	PPAR signaling pathway	2/123	48/5488	0.292488786637763	0.787030759337345	0.778993524560138	2170/9415	2
WP560	TGF-beta receptor signaling	2/123	48/5488	0.292488786637763	0.787030759337345	0.778993524560138	25805/10637	2
WP3584	MECP2 and associated Rett syndrome	2/123	49/5488	0.300836554101658	0.787030759337345	0.778993524560138	604/4208	2
WP3967	miR-509-3p alteration of YAP1/ECM axis	1/123	16/5488	0.304540493737544	0.787030759337345	0.778993524560138	7004	1
WP4816	TGF-beta receptor signaling in skeletal dysplasias	2/123	51/5488	0.317481616709572	0.787030759337345	0.778993524560138	25805/10637	2
WP325	Triacylglyceride synthesis	1/123	17/5488	0.320173081323487	0.787030759337345	0.778993524560138	56895	1
WP734	Serotonin receptor 4/6/7 and NR3C signaling	1/123	17/5488	0.320173081323487	0.787030759337345	0.778993524560138	1958	1
WP5055	Burn wound healing	3/123	91/5488	0.334168701389718	0.787030759337345	0.778993524560138	2006/4314/8796	3
WP34	Ovarian infertility	1/123	18/5488	0.335457071635535	0.787030759337345	0.778993524560138	1958	1
WP4142	Metabolism of spingolipids in ER and Golgi apparatus	1/123	18/5488	0.335457071635535	0.787030759337345	0.778993524560138	8708	1
WP4533	Transcription co-factors SKI and SKIL protein partners	1/123	18/5488	0.335457071635535	0.787030759337345	0.778993524560138	7004	1
WP4722	Glycerolipids and glycerophospholipids	1/123	18/5488	0.335457071635535	0.787030759337345	0.778993524560138	56895	1
WP5044	Kynurenine pathway and links to cell senescence	1/123	18/5488	0.335457071635535	0.787030759337345	0.778993524560138	7850	1
WP231	TNF-alpha signaling pathway	3/123	92/5488	0.340352753459641	0.787030759337345	0.778993524560138	27035/124056/5836	3
WP474	Endochondral ossification	2/123	54/5488	0.342273373343	0.787030759337345	0.778993524560138	655/4208	2
WP4808	Endochondral ossification with skeletal dysplasias	2/123	54/5488	0.342273373343	0.787030759337345	0.778993524560138	655/4208	2
WP4206	Hereditary leiomyomatosis and renal cell carcinoma pathway	1/123	19/5488	0.350400175874809	0.787030759337345	0.778993524560138	6513	1
WP23	B cell receptor signaling pathway	3/123	95/5488	0.358879995897883	0.787030759337345	0.778993524560138	604/4208/25780	3
WP2878	PPAR-alpha pathway	1/123	20/5488	0.365009936044382	0.787030759337345	0.778993524560138	55554	1
WP2064	Neural crest differentiation	2/123	57/5488	0.366782850353319	0.787030759337345	0.778993524560138	655/9734	2
WP5095	Overview of proinflammatory and profibrotic mediators	2/123	57/5488	0.366782850353319	0.787030759337345	0.778993524560138	6369/4314	2
WP2359	Parkin-ubiquitin proteasomal system pathway	2/123	58/5488	0.374877572678695	0.787030759337345	0.778993524560138	347733/10381	2
WP129	Matrix metalloproteinases	1/123	21/5488	0.379293728631533	0.787030759337345	0.778993524560138	4314	1
WP712	Estrogen signaling pathway	1/123	21/5488	0.379293728631533	0.787030759337345	0.778993524560138	2852	1
WP2361	Gastric cancer network 1	1/123	22/5488	0.39325876821052	0.787030759337345	0.778993524560138	6286	1
WP26	S1P receptor signal transduction	1/123	22/5488	0.39325876821052	0.787030759337345	0.778993524560138	1903	1
WP2817	Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)	1/123	22/5488	0.39325876821052	0.787030759337345	0.778993524560138	8600	1
WP4537	Hippo-Yap signaling pathway	1/123	22/5488	0.39325876821052	0.787030759337345	0.778993524560138	7004	1
WP5046	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	1/123	22/5488	0.39325876821052	0.787030759337345	0.778993524560138	6513	1
WP5092	Interactions of natural killer cells in pancreatic cancer	1/123	22/5488	0.39325876821052	0.787030759337345	0.778993524560138	259197	1
WP5183	SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction	1/123	23/5488	0.406912110967583	0.787030759337345	0.778993524560138	27035	1
WP2197	Endothelin pathways	1/123	24/5488	0.420260658149831	0.787030759337345	0.778993524560138	4886	1
WP2406	Cardiac progenitor differentiation	1/123	24/5488	0.420260658149831	0.787030759337345	0.778993524560138	4208	1
WP241	One-carbon metabolism	1/123	24/5488	0.420260658149831	0.787030759337345	0.778993524560138	10840	1
WP4150	Wnt signaling in kidney disease	1/123	24/5488	0.420260658149831	0.787030759337345	0.778993524560138	8325	1
WP4698	Vitamin D-sensitive calcium signaling in depression	1/123	24/5488	0.420260658149831	0.787030759337345	0.778993524560138	3786	1
WP2374	Oncostatin M signaling pathway	2/123	64/5488	0.422500707121198	0.787030759337345	0.778993524560138	1958/4314	2
WP4659	Gastrin signaling pathway	3/123	107/5488	0.431957747709013	0.787030759337345	0.778993524560138	1958/3067/4208	3
WP382	MAPK signaling pathway	5/123	193/5488	0.436267699953504	0.787030759337345	0.778993524560138	782/1844/7850/4208/25780	5
WP4838	Regucalcin in proximal tubule epithelial kidney cells	1/123	26/5488	0.446070216256221	0.787030759337345	0.778993524560138	8600	1
WP5038	Mitochondrial immune response to SARS-CoV-2	1/123	26/5488	0.446070216256221	0.787030759337345	0.778993524560138	27035	1
WP5102	Familial partial lipodystrophy (FPLD)	1/123	26/5488	0.446070216256221	0.787030759337345	0.778993524560138	5396	1
WP3996	Ethanol effects on histone modifications	1/123	27/5488	0.458544284985713	0.787030759337345	0.778993524560138	9734	1
WP408	Oxidative stress response	1/123	27/5488	0.458544284985713	0.787030759337345	0.778993524560138	27035	1
WP4561	Cell migration and invasion through p75NTR	1/123	27/5488	0.458544284985713	0.787030759337345	0.778993524560138	1946	1
WP4149	White fat cell differentiation	1/123	28/5488	0.470739680141683	0.787030759337345	0.778993524560138	1879	1
WP4241	Type 2 papillary renal cell carcinoma	1/123	28/5488	0.470739680141683	0.787030759337345	0.778993524560138	6513	1
WP4481	Resistin as a regulator of inflammation	1/123	28/5488	0.470739680141683	0.787030759337345	0.778993524560138	113026	1
WP4786	Type I collagen synthesis in the context of osteogenesis imperfecta	1/123	28/5488	0.470739680141683	0.787030759337345	0.778993524560138	8600	1
WP716	Vitamin A and carotenoid metabolism	1/123	28/5488	0.470739680141683	0.787030759337345	0.778993524560138	195814	1
WP1591	Heart development	1/123	29/5488	0.482662577457173	0.787030759337345	0.778993524560138	4208	1
WP2806	Complement system	2/123	73/5488	0.490278889202399	0.787030759337345	0.778993524560138	5329/729238	2
WP3298	Melatonin metabolism and effects	1/123	30/5488	0.49431901690996	0.787030759337345	0.778993524560138	5187	1
WP289	Myometrial relaxation and contraction pathways	3/123	118/5488	0.496243553621284	0.787030759337345	0.778993524560138	5569/8787/2810	3
WP2447	Amyotrophic lateral sclerosis (ALS)	1/123	31/5488	0.505714905682418	0.787030759337345	0.778993524560138	6506	1
WP3414	Initiation of transcription and translation elongation at the HIV-1 LTR	1/123	31/5488	0.505714905682418	0.787030759337345	0.778993524560138	9734	1
WP4148	Splicing factor NOVA regulated synaptic proteins	1/123	31/5488	0.505714905682418	0.787030759337345	0.778993524560138	1946	1
WP5198	Inflammatory bowel disease signaling	1/123	31/5488	0.505714905682418	0.787030759337345	0.778993524560138	50615	1
WP4217	Ebola virus infection in host	3/123	120/5488	0.507554609292895	0.787030759337345	0.778993524560138	26762/3135/91937	3
WP3617	Photodynamic therapy-induced NF-kB survival signaling	1/123	32/5488	0.516856021057361	0.787030759337345	0.778993524560138	4314	1
WP4222	Phosphodiesterases in neuronal function	1/123	32/5488	0.516856021057361	0.787030759337345	0.778993524560138	5145	1
WP4542	Leukocyte-intrinsic Hippo pathway functions	1/123	32/5488	0.516856021057361	0.787030759337345	0.778993524560138	7004	1
WP2267	Synaptic vesicle pathway	1/123	34/5488	0.538396408186205	0.811507320461918	0.8032201286583	23025	1
WP1772	Apoptosis modulation and signaling	2/123	81/5488	0.546229433705494	0.811507320461918	0.8032201286583	638/7850	2
WP3614	Photodynamic therapy-induced HIF-1 survival signaling	1/123	35/5488	0.548806610201808	0.811507320461918	0.8032201286583	6513	1
WP3888	VEGFA-VEGFR2 signaling pathway	9/123	401/5488	0.549079580014034	0.811507320461918	0.8032201286583	1466/1958/1960/10755/9734/4208/5329/9588/7004	9
WP5090	Complement system in neuronal development and plasticity	2/123	84/5488	0.566091741710996	0.830543358276717	0.822061768600678	1191/286204	2
WP4754	IL-18 signaling pathway	5/123	228/5488	0.584772367078842	0.851733665093096	0.84303567793975	8870/4314/27035/7052/8600	5
WP4534	Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms	1/123	40/5488	0.597465697138761	0.863447684774507	0.854630072911138	7004	1
WP4290	Metabolic reprogramming in colon cancer	1/123	41/5488	0.606553751333316	0.863447684774507	0.854630072911138	6513	1
WP4861	Endoplasmic reticulum stress response in coronavirus infection	1/123	41/5488	0.606553751333316	0.863447684774507	0.854630072911138	81706	1
WP4673	Male infertility	2/123	91/5488	0.609997866855622	0.863447684774507	0.854630072911138	1191/8787	2
WP2038	Microtubule cytoskeleton regulation	1/123	42/5488	0.615438254470088	0.865056567471943	0.85622252554175	11076	1
WP1541	Energy metabolism	1/123	43/5488	0.624123729075336	0.865164617545811	0.856329472197739	4208	1
WP4718	Cholesterol metabolism with Bloch and Kandutsch-Russell pathways	1/123	43/5488	0.624123729075336	0.865164617545811	0.856329472197739	9415	1
WP4971	Phosphoinositides metabolism	1/123	44/5488	0.632614598005315	0.866278247908791	0.857431730058977	113026	1
WP5224	2q37 copy number variation syndrome	2/123	95/5488	0.633546778321355	0.866278247908791	0.857431730058977	64090/4208	2
WP710	DNA damage response (only ATM dependent)	2/123	96/5488	0.63925963413893	0.868183692310304	0.859317715876656	604/638	2
WP2858	Ectoderm differentiation	2/123	102/5488	0.672087438557165	0.903035685243486	0.893813796863152	8325/5452	2
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	1/123	51/5488	0.686953295893284	0.903035685243486	0.893813796863152	8870	1
WP236	Adipogenesis	2/123	105/5488	0.68758244112005	0.903035685243486	0.893813796863152	1879/4208	2
WP5124	Alzheimer's disease	4/123	208/5488	0.692368588069643	0.903035685243486	0.893813796863152	8325/27035/347733/10381	4
WP2118	Arrhythmogenic right ventricular cardiomyopathy	1/123	52/5488	0.694035279451335	0.903035685243486	0.893813796863152	782	1
WP3680	Physico-chemical features and toxicity-associated pathways	1/123	52/5488	0.694035279451335	0.903035685243486	0.893813796863152	8325	1
WP2059	Alzheimer's disease and miRNA effects	4/123	210/5488	0.69959894195282	0.903035685243486	0.893813796863152	8325/27035/347733/10381	4
WP2795	Cardiac hypertrophic response	1/123	53/5488	0.700958322245207	0.903035685243486	0.893813796863152	9734	1
WP2018	RANKL/RANK signaling pathway	1/123	54/5488	0.707725962790532	0.903035685243486	0.893813796863152	8600	1
WP2853	Endoderm differentiation	2/123	110/5488	0.71207967164272	0.903035685243486	0.893813796863152	655/1844	2
WP183	Proteasome degradation	1/123	55/5488	0.714341661461265	0.903035685243486	0.893813796863152	3135	1
WP3651	Pathways affected in adenoid cystic carcinoma	1/123	57/5488	0.72713069419852	0.904362208310296	0.89512677334719	4603	1
WP4262	Breast cancer pathway	2/123	115/5488	0.734964392741762	0.904362208310296	0.89512677334719	8325/8600	2
WP2572	Primary focal segmental glomerulosclerosis (FSGS)	1/123	60/5488	0.74525688242811	0.904362208310296	0.89512677334719	5329	1
WP4313	Ferroptosis	1/123	60/5488	0.74525688242811	0.904362208310296	0.89512677334719	27035	1
WP2032	Thyroid stimulating hormone (TSH) signaling pathway	1/123	61/5488	0.751029432807871	0.904362208310296	0.89512677334719	1958	1
WP4336	ncRNAs involved in Wnt signaling in hepatocellular carcinoma	1/123	61/5488	0.751029432807871	0.904362208310296	0.89512677334719	8325	1
WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	2/123	119/5488	0.752152100813754	0.904362208310296	0.89512677334719	1958/4208	2
WP4949	16p11.2 proximal deletion syndrome	1/123	62/5488	0.756672215148875	0.904362208310296	0.89512677334719	23025	1
WP707	DNA damage response	1/123	62/5488	0.756672215148875	0.904362208310296	0.89512677334719	2810	1
WP4239	Epithelial to mesenchymal transition in colorectal cancer	2/123	121/5488	0.760384145295722	0.904362208310296	0.89512677334719	9073/8325	2
WP1530	miRNA regulation of DNA damage response	1/123	65/5488	0.77285057360904	0.90917744411798	0.899892835497765	2810	1
WP4258	lncRNA in canonical Wnt signaling and colorectal cancer	1/123	66/5488	0.77800258899648	0.90917744411798	0.899892835497765	8325	1
WP4656	Joubert syndrome	1/123	66/5488	0.77800258899648	0.90917744411798	0.899892835497765	5145	1
WP366	TGF-beta signaling pathway	2/123	127/5488	0.783686132653138	0.910525506724166	0.901227131557305	2354/4208	2
WP2328	Allograft rejection	1/123	70/5488	0.797476989573791	0.911480056990914	0.902171933863749	3135	1
WP2355	Corticotropin-releasing hormone signaling pathway	1/123	70/5488	0.797476989573791	0.911480056990914	0.902171933863749	2354	1
WP3925	Amino acid metabolism	1/123	74/5488	0.815255698048799	0.911480056990914	0.902171933863749	3067	1
WP4016	DNA IR-damage and cellular response via ATR	1/123	75/5488	0.819452881118618	0.911480056990914	0.902171933863749	604	1
WP4022	Pyrimidine metabolism	1/123	75/5488	0.819452881118618	0.911480056990914	0.902171933863749	956	1
WP1544	MicroRNAs in cardiomyocyte hypertrophy	1/123	76/5488	0.823555466676056	0.911480056990914	0.902171933863749	9734	1
WP399	Wnt signaling pathway and pluripotency	1/123	76/5488	0.823555466676056	0.911480056990914	0.902171933863749	8325	1
WP3931	Embryonic stem cell pluripotency pathways	1/123	81/5488	0.842721836118411	0.911480056990914	0.902171933863749	8325	1
WP4540	Hippo signaling regulation pathways	1/123	81/5488	0.842721836118411	0.911480056990914	0.902171933863749	7004	1
WP4657	22q11.2 copy number variation syndrome	1/123	82/5488	0.846299645283833	0.911480056990914	0.902171933863749	150209	1
WP4932	7q11.23 copy number variation syndrome	1/123	82/5488	0.846299645283833	0.911480056990914	0.902171933863749	2006	1
WP481	Insulin signaling	2/123	150/5488	0.855630356561727	0.911480056990914	0.902171933863749	1958/6513	2
WP185	Integrin-mediated cell adhesion	1/123	85/5488	0.856555809219971	0.911480056990914	0.902171933863749	827	1
WP428	Wnt signaling	1/123	85/5488	0.856555809219971	0.911480056990914	0.902171933863749	8325	1
WP69	T-cell receptor signaling pathway	1/123	85/5488	0.856555809219971	0.911480056990914	0.902171933863749	3604	1
WP2431	Spinal cord injury	1/123	87/5488	0.863013111282649	0.911480056990914	0.902171933863749	1958	1
WP437	EGF/EGFR signaling pathway	2/123	154/5488	0.865672566840349	0.911480056990914	0.902171933863749	2354/4208	2
WP4787	Osteoblast differentiation and related diseases	1/123	88/5488	0.866132790473953	0.911480056990914	0.902171933863749	8325	1
WP4541	Hippo-Merlin signaling dysregulation	1/123	94/5488	0.883424824384606	0.924835363027635	0.915390854214313	7004	1
WP5087	Malignant pleural mesothelioma	5/123	356/5488	0.909213334388396	0.94239106961294	0.932767280213907	1946/8325/4314/6513/7004	5
WP702	Metapathway biotransformation Phase I and II	1/123	105/5488	0.909571480123932	0.94239106961294	0.932767280213907	64090	1
WP179	Cell cycle	1/123	113/5488	0.924847494735568	0.953304340727432	0.943569103940742	2810	1
WP3915	Angiopoietin-like protein 8 regulatory pathway	1/123	123/5488	0.940389783853872	0.964379319156267	0.954530983611073	6513	1
WP4666	Hepatitis B infection	1/123	132/5488	0.951627575346672	0.970949962663355	0.961034527066636	1960	1
WP3929	Chemokine signaling pathway	1/123	140/5488	0.95983703446141	0.974380019832038	0.964429556157398	6369	1
WP4223	Ras signaling	1/123	146/5488	0.965072584158543	0.974771806109885	0.964817341475613	25780	1
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	2/123	244/5488	0.976077394860767	0.980957781835071	0.970940145414132	1946/6513	2
WP4172	PI3K-Akt signaling pathway	1/123	259/5488	0.9975582983985	0.9975582983985	0.987371135885397	1946	1
